seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	relative	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	relative	en	fr	0.6262370139647505	0.602	0.602	0.6072585708133768	0.4506	True	0.0254159383817465	0.018773311338039
1	relative	fr	en	0.5337032665609994	0.5044	0.5044	0.5102926302142607	0.5732	True	0.0340196387944646	0.0178669631924412
1	relative	fr	fr	0.5406436018667677	0.4984	0.4984	0.5001740776311987	0.5768	False	1.0	1.0
2	relative	en	en	0.6100017333123834	0.6076	0.6076	0.6045142163761617	0.45	False	1.0	1.0
2	relative	en	fr	0.6166541588877682	0.6052	0.6052	0.6025317952806023	0.455	True	0.0230113866156823	0.0063647496173025
2	relative	fr	en	0.5416592550404205	0.508	0.508	0.5114093555979123	0.5754	True	0.0340196387944646	0.0178669631924412
2	relative	fr	fr	0.5448161773798597	0.5084	0.5084	0.5138261278722828	0.5724	False	1.0	1.0
3	relative	en	en	0.6061873689363645	0.588	0.588	0.5920346543594955	0.4708	False	1.0	1.0
3	relative	en	fr	0.5866492493687328	0.5656	0.5656	0.5682852928198132	0.5434	True	0.0103573662102649	0.0007514904749219
3	relative	fr	en	0.5192548804003931	0.515	0.515	0.5163535409278459	0.576	True	0.0340196387944646	0.0178669631924412
3	relative	fr	fr	0.5259047605135168	0.5128	0.5128	0.5150055555782154	0.5748	False	1.0	1.0
4	relative	en	en	0.6248951732970092	0.6032	0.6032	0.607347397232477	0.454	False	1.0	1.0
4	relative	en	fr	0.6258031976975587	0.6008	0.6008	0.6054789510621508	0.4566	True	0.0106786906489206	-0.0165165063922068
4	relative	fr	en	0.5298043344307142	0.5204	0.5204	0.5206605968016228	0.565	True	0.0340196387944646	0.0178669631924412
4	relative	fr	fr	0.5230121825767926	0.516	0.516	0.5180097676519492	0.5754	False	1.0	1.0
5	relative	en	en	0.6144831184999915	0.6168	0.6168	0.6144762722155774	0.4448	False	1.0	1.0
5	relative	en	fr	0.6236835574637074	0.6132	0.6132	0.6158375399250454	0.4404	True	0.054598372117073586	0.025780852145450388
5	relative	fr	en	0.5290998910978382	0.5166	0.5166	0.5204880706694657	0.5722	True	0.054598372117073586	0.025780852145450388
5	relative	fr	fr	0.5267480007899059	0.5194	0.5194	0.5222382554134	0.5756	False	1.0	1.0
6	relative	en	en	0.6137115688469819	0.6138	0.6138	0.6067885253501997	0.4518	False	1.0	1.0
6	relative	en	fr	0.6175680444657375	0.6038	0.6038	0.5984200248530676	0.457	True	0.022978724642157246	0.006586945088190597
6	relative	fr	en	0.5288278506742357	0.4904	0.4904	0.4901703883541331	0.5886	True	0.054598372117073586	0.025780852145450388
6	relative	fr	fr	0.5344306052362129	0.493	0.493	0.5000192430571281	0.587	False	1.0	1.0
7	relative	en	en	0.6126388228525513	0.6104	0.6104	0.6106709891453018	0.4506	False	1.0	1.0
7	relative	en	fr	0.6125688136297164	0.6106	0.6106	0.6113357232092769	0.4506	True	0.009273833984321208	-0.004947847062686068
7	relative	fr	en	0.5368397593985514	0.4976	0.4976	0.5010100793159058	0.5784	True	0.054598372117073586	0.025780852145450388
7	relative	fr	fr	0.5428791284992178	0.5064	0.5064	0.5111672060928925	0.5686	False	1.0	1.0
8	relative	en	en	0.6253371249028934	0.6058	0.6058	0.6107333553946718	0.4462	False	1.0	1.0
8	relative	en	fr	0.6284023971538361	0.6052	0.6052	0.6090016493589003	0.4446	True	0.016855812726397766	0.004809227438800433
8	relative	fr	en	0.5367506182102368	0.492	0.492	0.491173681468161	0.5892	True	0.054598372117073586	0.025780852145450388
8	relative	fr	fr	0.5239569490731776	0.5034	0.5034	0.5036527425483718	0.5882	False	1.0	1.0
9	relative	en	en	0.6250238527607324	0.607	0.607	0.6069375310422159	0.4474	False	1.0	1.0
9	relative	en	fr	0.6384429429037644	0.5906	0.5906	0.5884020086905686	0.4614	True	0.037714686081317256	0.020532368741249325
9	relative	fr	en	0.5349091440349463	0.4978	0.4978	0.49524217328006487	0.5888	True	0.054598372117073586	0.025780852145450388
9	relative	fr	fr	0.5417890833623336	0.4968	0.4968	0.49547022144616787	0.5876	False	1.0	1.0
